Treatment Function Code,Metric,Category,Waiting Bands,Count
Gastroenterology Service,Age,0-18 Years,Total,6755
Gastroenterology Service,Age,19-64 Years,Unknown Clock Start,265
Gastroenterology Service,Age,19-64 Years,01 To 18 Weeks,149460
Gastroenterology Service,Age,19-64 Years,18 To 52 Weeks,88820
Gastroenterology Service,Age,19-64 Years,Over 52 Weeks,4750
Gastroenterology Service,Age,19-64 Years,Total,243290
Gastroenterology Service,Age,Over 65 Years,Unknown Clock Start,165
Gastroenterology Service,Age,Over 65 Years,01 To 18 Weeks,82325
Gastroenterology Service,Age,Over 65 Years,18 To 52 Weeks,39570
Gastroenterology Service,Age,Over 65 Years,Over 52 Weeks,1935
Gastroenterology Service,Age,Over 65 Years,Total,124000
Gastroenterology Service,Ethnicity,99: Not known,Unknown Clock Start,*
Gastroenterology Service,Ethnicity,99: Not known,01 To 18 Weeks,9330
Gastroenterology Service,Ethnicity,99: Not known,18 To 52 Weeks,4000
Gastroenterology Service,Ethnicity,99: Not known,Over 52 Weeks,150
Gastroenterology Service,Ethnicity,99: Not known,Total,13490
Gastroenterology Service,Ethnicity,A: British,Unknown Clock Start,320
Gastroenterology Service,Ethnicity,A: British,01 To 18 Weeks,170505
Gastroenterology Service,Ethnicity,A: British,18 To 52 Weeks,94745
Gastroenterology Service,Ethnicity,A: British,Over 52 Weeks,4885
Gastroenterology Service,Ethnicity,A: British,Total,270460
Gastroenterology Service,Ethnicity,B: Irish,Unknown Clock Start,*
Gastroenterology Service,Ethnicity,B: Irish,01 To 18 Weeks,1630
Gastroenterology Service,Ethnicity,B: Irish,18 To 52 Weeks,835
Gastroenterology Service,Ethnicity,B: Irish,Over 52 Weeks,50
Gastroenterology Service,Ethnicity,B: Irish,Total,2515
Gastroenterology Service,Ethnicity,C: Any other white background,Unknown Clock Start,30
Gastroenterology Service,Ethnicity,C: Any other white background,01 To 18 Weeks,14835
Gastroenterology Service,Ethnicity,C: Any other white background,18 To 52 Weeks,8095
Gastroenterology Service,Ethnicity,C: Any other white background,Over 52 Weeks,455
Gastroenterology Service,Ethnicity,C: Any other white background,Total,23415
Gastroenterology Service,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,*
Gastroenterology Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,685
Gastroenterology Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,405
Gastroenterology Service,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,20
Gastroenterology Service,Ethnicity,D: White and Black Caribbean,Total,1105
Gastroenterology Service,Ethnicity,E: White and Black African,01 To 18 Weeks,395
Gastroenterology Service,Ethnicity,E: White and Black African,18 To 52 Weeks,220
Gastroenterology Service,Ethnicity,E: White and Black African,Over 52 Weeks,10
Gastroenterology Service,Ethnicity,E: White and Black African,Total,630
Gastroenterology Service,Ethnicity,F: White and Asian,Unknown Clock Start,*
Gastroenterology Service,Ethnicity,F: White and Asian,01 To 18 Weeks,615
Gastroenterology Service,Ethnicity,F: White and Asian,18 To 52 Weeks,350
Gastroenterology Service,Ethnicity,F: White and Asian,Over 52 Weeks,15
Gastroenterology Service,Ethnicity,F: White and Asian,Total,985
Gastroenterology Service,Ethnicity,G: Any other mixed background,Unknown Clock Start,*
Gastroenterology Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1475
Gastroenterology Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,835
Gastroenterology Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,35
Gastroenterology Service,Ethnicity,G: Any other mixed background,Total,2345
Gastroenterology Service,Ethnicity,H: Indian,Unknown Clock Start,10
Gastroenterology Service,Ethnicity,H: Indian,01 To 18 Weeks,6845
Gastroenterology Service,Ethnicity,H: Indian,18 To 52 Weeks,3350
Gastroenterology Service,Ethnicity,H: Indian,Over 52 Weeks,195
Gastroenterology Service,Ethnicity,H: Indian,Total,10400
Gastroenterology Service,Ethnicity,J: Pakistani,Unknown Clock Start,10
Gastroenterology Service,Ethnicity,J: Pakistani,01 To 18 Weeks,5570
Gastroenterology Service,Ethnicity,J: Pakistani,18 To 52 Weeks,3625
Gastroenterology Service,Ethnicity,J: Pakistani,Over 52 Weeks,175
Gastroenterology Service,Ethnicity,J: Pakistani,Total,9375
Gastroenterology Service,Ethnicity,K: Bangladeshi,Unknown Clock Start,*
Gastroenterology Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,2200
Gastroenterology Service,Ethnicity,K: Bangladeshi,18 To 52 Weeks,1310
Gastroenterology Service,Ethnicity,K: Bangladeshi,Over 52 Weeks,50
Gastroenterology Service,Ethnicity,K: Bangladeshi,Total,3565
Gastroenterology Service,Ethnicity,L: Any other Asian background,Unknown Clock Start,10
Gastroenterology Service,Ethnicity,L: Any other Asian background,01 To 18 Weeks,5220
Gastroenterology Service,Ethnicity,L: Any other Asian background,18 To 52 Weeks,2880
Gastroenterology Service,Ethnicity,L: Any other Asian background,Over 52 Weeks,155
Gastroenterology Service,Ethnicity,L: Any other Asian background,Total,8265
Gastroenterology Service,Ethnicity,M: Caribbean,Unknown Clock Start,*
Gastroenterology Service,Ethnicity,M: Caribbean,01 To 18 Weeks,2570
Gastroenterology Service,Ethnicity,M: Caribbean,18 To 52 Weeks,1275
Gastroenterology Service,Ethnicity,M: Caribbean,Over 52 Weeks,60
Gastroenterology Service,Ethnicity,M: Caribbean,Total,3910
Gastroenterology Service,Ethnicity,N: African,Unknown Clock Start,10
Gastroenterology Service,Ethnicity,N: African,01 To 18 Weeks,4095
Gastroenterology Service,Ethnicity,N: African,18 To 52 Weeks,2085
Gastroenterology Service,Ethnicity,N: African,Over 52 Weeks,115
Gastroenterology Service,Ethnicity,N: African,Total,6305
Gastroenterology Service,Ethnicity,P: Any other Black background,Unknown Clock Start,*
Gastroenterology Service,Ethnicity,P: Any other Black background,01 To 18 Weeks,2045
Gastroenterology Service,Ethnicity,P: Any other Black background,18 To 52 Weeks,980
Gastroenterology Service,Ethnicity,P: Any other Black background,Over 52 Weeks,60
Gastroenterology Service,Ethnicity,P: Any other Black background,Total,3095
Gastroenterology Service,Ethnicity,R: Chinese,Unknown Clock Start,*
Gastroenterology Service,Ethnicity,R: Chinese,01 To 18 Weeks,1115
Gastroenterology Service,Ethnicity,R: Chinese,18 To 52 Weeks,605
Gastroenterology Service,Ethnicity,R: Chinese,Over 52 Weeks,25
Gastroenterology Service,Ethnicity,R: Chinese,Total,1750
Gastroenterology Service,Ethnicity,S: Any other ethnic group,Unknown Clock Start,*
Gastroenterology Service,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,2640
Gastroenterology Service,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,1450
Gastroenterology Service,Ethnicity,S: Any other ethnic group,Over 52 Weeks,80
Gastroenterology Service,Ethnicity,S: Any other ethnic group,Total,4175
Gastroenterology Service,Ethnicity,Z: Not stated,Unknown Clock Start,25
Gastroenterology Service,Ethnicity,Z: Not stated,01 To 18 Weeks,9390
Gastroenterology Service,Ethnicity,Z: Not stated,18 To 52 Weeks,4985
Gastroenterology Service,Ethnicity,Z: Not stated,Over 52 Weeks,265
Gastroenterology Service,Ethnicity,Z: Not stated,Total,14665
Gastroenterology Service,IMD,1,Unknown Clock Start,25
Gastroenterology Service,IMD,1,01 To 18 Weeks,25325
Gastroenterology Service,IMD,1,18 To 52 Weeks,14630
Gastroenterology Service,IMD,1,Over 52 Weeks,745
Gastroenterology Service,IMD,1,Total,40720
Gastroenterology Service,IMD,10,Unknown Clock Start,90
Gastroenterology Service,IMD,10,01 To 18 Weeks,19710
Gastroenterology Service,IMD,10,18 To 52 Weeks,11070
Gastroenterology Service,IMD,10,Over 52 Weeks,565
Gastroenterology Service,IMD,10,Total,31440
Gastroenterology Service,IMD,2,Unknown Clock Start,20
Gastroenterology Service,IMD,2,01 To 18 Weeks,25325
Gastroenterology Service,IMD,2,18 To 52 Weeks,13645
Gastroenterology Service,IMD,2,Over 52 Weeks,640
Gastroenterology Service,IMD,2,Total,39630
Gastroenterology Service,IMD,3,Unknown Clock Start,40
Gastroenterology Service,IMD,3,01 To 18 Weeks,24440
Gastroenterology Service,IMD,3,18 To 52 Weeks,13280
Gastroenterology Service,IMD,3,Over 52 Weeks,705
Gastroenterology Service,IMD,3,Total,38460
Gastroenterology Service,IMD,4,Unknown Clock Start,40
Gastroenterology Service,IMD,4,01 To 18 Weeks,24020
Gastroenterology Service,IMD,4,18 To 52 Weeks,13310
Gastroenterology Service,IMD,4,Over 52 Weeks,675
Gastroenterology Service,IMD,4,Total,38050
Gastroenterology Service,IMD,5,Unknown Clock Start,25
Gastroenterology Service,IMD,5,01 To 18 Weeks,23495
Gastroenterology Service,IMD,5,18 To 52 Weeks,12590
Gastroenterology Service,IMD,5,Over 52 Weeks,685
Gastroenterology Service,IMD,5,Total,36795
Gastroenterology Service,IMD,6,Unknown Clock Start,25
Gastroenterology Service,IMD,6,01 To 18 Weeks,23240
Gastroenterology Service,IMD,6,18 To 52 Weeks,12655
Gastroenterology Service,IMD,6,Over 52 Weeks,625
Gastroenterology Service,IMD,6,Total,36550
Gastroenterology Service,IMD,7,Unknown Clock Start,55
Gastroenterology Service,IMD,7,01 To 18 Weeks,22505
Gastroenterology Service,IMD,7,18 To 52 Weeks,12385
Gastroenterology Service,IMD,7,Over 52 Weeks,660
Gastroenterology Service,IMD,7,Total,35610
Gastroenterology Service,IMD,8,Unknown Clock Start,50
Gastroenterology Service,IMD,8,01 To 18 Weeks,22495
Gastroenterology Service,IMD,8,18 To 52 Weeks,12280
Gastroenterology Service,IMD,8,Over 52 Weeks,650
Gastroenterology Service,IMD,8,Total,35475
Gastroenterology Service,IMD,9,Unknown Clock Start,65
Gastroenterology Service,IMD,9,01 To 18 Weeks,21655
Gastroenterology Service,IMD,9,18 To 52 Weeks,12105
Gastroenterology Service,IMD,9,Over 52 Weeks,705
Gastroenterology Service,IMD,9,Total,34525
Gastroenterology Service,Sex,Female,Unknown Clock Start,240
Gastroenterology Service,Sex,Female,01 To 18 Weeks,127450
Gastroenterology Service,Sex,Female,18 To 52 Weeks,73165
Gastroenterology Service,Sex,Female,Over 52 Weeks,3880
Gastroenterology Service,Sex,Female,Total,204735
Gastroenterology Service,Sex,Male,Unknown Clock Start,170
Gastroenterology Service,Sex,Male,01 To 18 Weeks,97695
Gastroenterology Service,Sex,Male,18 To 52 Weeks,51740
Gastroenterology Service,Sex,Male,Over 52 Weeks,2640
Gastroenterology Service,Sex,Male,Total,152240
General Internal Medicine Service,Age,0-18 Years,Unknown Clock Start,*
General Internal Medicine Service,Age,0-18 Years,01 To 18 Weeks,395
General Internal Medicine Service,Age,0-18 Years,18 To 52 Weeks,100
General Internal Medicine Service,Age,0-18 Years,Over 52 Weeks,*
General Internal Medicine Service,Age,0-18 Years,Total,505
General Internal Medicine Service,Age,19-64 Years,Unknown Clock Start,30
General Internal Medicine Service,Age,19-64 Years,01 To 18 Weeks,10990
General Internal Medicine Service,Age,19-64 Years,18 To 52 Weeks,5240
General Internal Medicine Service,Age,19-64 Years,Over 52 Weeks,160
General Internal Medicine Service,Age,19-64 Years,Total,16420
General Internal Medicine Service,Age,Over 65 Years,Unknown Clock Start,25
General Internal Medicine Service,Age,Over 65 Years,01 To 18 Weeks,7310
General Internal Medicine Service,Age,Over 65 Years,18 To 52 Weeks,2830
General Internal Medicine Service,Age,Over 65 Years,Over 52 Weeks,80
General Internal Medicine Service,Age,Over 65 Years,Total,10250
General Internal Medicine Service,Ethnicity,99: Not known,01 To 18 Weeks,360
General Internal Medicine Service,Ethnicity,99: Not known,18 To 52 Weeks,240
General Internal Medicine Service,Ethnicity,99: Not known,Over 52 Weeks,*
General Internal Medicine Service,Ethnicity,99: Not known,Total,600
General Internal Medicine Service,Ethnicity,A: British,Unknown Clock Start,50
General Internal Medicine Service,Ethnicity,A: British,01 To 18 Weeks,13360
General Internal Medicine Service,Ethnicity,A: British,18 To 52 Weeks,5675
General Internal Medicine Service,Ethnicity,A: British,Over 52 Weeks,185
General Internal Medicine Service,Ethnicity,A: British,Total,19270
General Internal Medicine Service,Ethnicity,B: Irish,01 To 18 Weeks,125
General Internal Medicine Service,Ethnicity,B: Irish,18 To 52 Weeks,60
General Internal Medicine Service,Ethnicity,B: Irish,Over 52 Weeks,*
General Internal Medicine Service,Ethnicity,B: Irish,Total,185
General Internal Medicine Service,Ethnicity,C: Any other white background,Unknown Clock Start,*
General Internal Medicine Service,Ethnicity,C: Any other white background,01 To 18 Weeks,1290
General Internal Medicine Service,Ethnicity,C: Any other white background,18 To 52 Weeks,660
General Internal Medicine Service,Ethnicity,C: Any other white background,Over 52 Weeks,20
General Internal Medicine Service,Ethnicity,C: Any other white background,Total,1970
General Internal Medicine Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,70
General Internal Medicine Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,30
General Internal Medicine Service,Ethnicity,D: White and Black Caribbean,Total,100
General Internal Medicine Service,Ethnicity,E: White and Black African,01 To 18 Weeks,45
General Internal Medicine Service,Ethnicity,E: White and Black African,18 To 52 Weeks,15
General Internal Medicine Service,Ethnicity,E: White and Black African,Total,60
General Internal Medicine Service,Ethnicity,F: White and Asian,01 To 18 Weeks,50
General Internal Medicine Service,Ethnicity,F: White and Asian,18 To 52 Weeks,30
General Internal Medicine Service,Ethnicity,F: White and Asian,Over 52 Weeks,*
General Internal Medicine Service,Ethnicity,F: White and Asian,Total,80
General Internal Medicine Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,145
General Internal Medicine Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,75
General Internal Medicine Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,*
General Internal Medicine Service,Ethnicity,G: Any other mixed background,Total,220
General Internal Medicine Service,Ethnicity,H: Indian,01 To 18 Weeks,530
General Internal Medicine Service,Ethnicity,H: Indian,18 To 52 Weeks,205
General Internal Medicine Service,Ethnicity,H: Indian,Over 52 Weeks,*
General Internal Medicine Service,Ethnicity,H: Indian,Total,740
General Internal Medicine Service,Ethnicity,J: Pakistani,01 To 18 Weeks,275
General Internal Medicine Service,Ethnicity,J: Pakistani,18 To 52 Weeks,110
General Internal Medicine Service,Ethnicity,J: Pakistani,Over 52 Weeks,*
General Internal Medicine Service,Ethnicity,J: Pakistani,Total,390
General Internal Medicine Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,155
General Internal Medicine Service,Ethnicity,K: Bangladeshi,18 To 52 Weeks,75
General Internal Medicine Service,Ethnicity,K: Bangladeshi,Over 52 Weeks,*
General Internal Medicine Service,Ethnicity,K: Bangladeshi,Total,230
General Internal Medicine Service,Ethnicity,L: Any other Asian background,Unknown Clock Start,*
General Internal Medicine Service,Ethnicity,L: Any other Asian background,01 To 18 Weeks,390
General Internal Medicine Service,Ethnicity,L: Any other Asian background,18 To 52 Weeks,175
General Internal Medicine Service,Ethnicity,L: Any other Asian background,Over 52 Weeks,*
General Internal Medicine Service,Ethnicity,L: Any other Asian background,Total,575
General Internal Medicine Service,Ethnicity,M: Caribbean,01 To 18 Weeks,295
General Internal Medicine Service,Ethnicity,M: Caribbean,18 To 52 Weeks,115
General Internal Medicine Service,Ethnicity,M: Caribbean,Over 52 Weeks,*
General Internal Medicine Service,Ethnicity,M: Caribbean,Total,415
General Internal Medicine Service,Ethnicity,N: African,01 To 18 Weeks,440
General Internal Medicine Service,Ethnicity,N: African,18 To 52 Weeks,180
General Internal Medicine Service,Ethnicity,N: African,Over 52 Weeks,*
General Internal Medicine Service,Ethnicity,N: African,Total,625
General Internal Medicine Service,Ethnicity,P: Any other Black background,01 To 18 Weeks,215
General Internal Medicine Service,Ethnicity,P: Any other Black background,18 To 52 Weeks,100
General Internal Medicine Service,Ethnicity,P: Any other Black background,Over 52 Weeks,*
General Internal Medicine Service,Ethnicity,P: Any other Black background,Total,315
General Internal Medicine Service,Ethnicity,R: Chinese,01 To 18 Weeks,90
General Internal Medicine Service,Ethnicity,R: Chinese,18 To 52 Weeks,50
General Internal Medicine Service,Ethnicity,R: Chinese,Total,140
General Internal Medicine Service,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,210
General Internal Medicine Service,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,100
General Internal Medicine Service,Ethnicity,S: Any other ethnic group,Over 52 Weeks,*
General Internal Medicine Service,Ethnicity,S: Any other ethnic group,Total,315
General Internal Medicine Service,Ethnicity,Z: Not stated,Unknown Clock Start,*
General Internal Medicine Service,Ethnicity,Z: Not stated,01 To 18 Weeks,870
General Internal Medicine Service,Ethnicity,Z: Not stated,18 To 52 Weeks,360
General Internal Medicine Service,Ethnicity,Z: Not stated,Over 52 Weeks,*
General Internal Medicine Service,Ethnicity,Z: Not stated,Total,1240
General Internal Medicine Service,IMD,1,Unknown Clock Start,*
General Internal Medicine Service,IMD,1,01 To 18 Weeks,1455
General Internal Medicine Service,IMD,1,18 To 52 Weeks,450
General Internal Medicine Service,IMD,1,Over 52 Weeks,10
General Internal Medicine Service,IMD,1,Total,1915
General Internal Medicine Service,IMD,10,Unknown Clock Start,15
General Internal Medicine Service,IMD,10,01 To 18 Weeks,1565
General Internal Medicine Service,IMD,10,18 To 52 Weeks,680
General Internal Medicine Service,IMD,10,Over 52 Weeks,25
General Internal Medicine Service,IMD,10,Total,2285
General Internal Medicine Service,IMD,2,Unknown Clock Start,*
General Internal Medicine Service,IMD,2,01 To 18 Weeks,1760
General Internal Medicine Service,IMD,2,18 To 52 Weeks,780
General Internal Medicine Service,IMD,2,Over 52 Weeks,25
General Internal Medicine Service,IMD,2,Total,2565
General Internal Medicine Service,IMD,3,Unknown Clock Start,*
General Internal Medicine Service,IMD,3,01 To 18 Weeks,1985
General Internal Medicine Service,IMD,3,18 To 52 Weeks,975
General Internal Medicine Service,IMD,3,Over 52 Weeks,15
General Internal Medicine Service,IMD,3,Total,2975
General Internal Medicine Service,IMD,4,Unknown Clock Start,*
General Internal Medicine Service,IMD,4,01 To 18 Weeks,2095
General Internal Medicine Service,IMD,4,18 To 52 Weeks,905
General Internal Medicine Service,IMD,4,Over 52 Weeks,25
General Internal Medicine Service,IMD,4,Total,3030
General Internal Medicine Service,IMD,5,Unknown Clock Start,*
General Internal Medicine Service,IMD,5,01 To 18 Weeks,2035
General Internal Medicine Service,IMD,5,18 To 52 Weeks,915
General Internal Medicine Service,IMD,5,Over 52 Weeks,25
General Internal Medicine Service,IMD,5,Total,2975
General Internal Medicine Service,IMD,6,Unknown Clock Start,*
General Internal Medicine Service,IMD,6,01 To 18 Weeks,2000
General Internal Medicine Service,IMD,6,18 To 52 Weeks,855
General Internal Medicine Service,IMD,6,Over 52 Weeks,35
General Internal Medicine Service,IMD,6,Total,2895
General Internal Medicine Service,IMD,7,Unknown Clock Start,*
General Internal Medicine Service,IMD,7,01 To 18 Weeks,1960
General Internal Medicine Service,IMD,7,18 To 52 Weeks,885
General Internal Medicine Service,IMD,7,Over 52 Weeks,25
General Internal Medicine Service,IMD,7,Total,2875
General Internal Medicine Service,IMD,8,Unknown Clock Start,10
General Internal Medicine Service,IMD,8,01 To 18 Weeks,1845
General Internal Medicine Service,IMD,8,18 To 52 Weeks,840
General Internal Medicine Service,IMD,8,Over 52 Weeks,30
General Internal Medicine Service,IMD,8,Total,2725
General Internal Medicine Service,IMD,9,Unknown Clock Start,*
General Internal Medicine Service,IMD,9,01 To 18 Weeks,1810
General Internal Medicine Service,IMD,9,18 To 52 Weeks,775
General Internal Medicine Service,IMD,9,Over 52 Weeks,25
General Internal Medicine Service,IMD,9,Total,2620
General Internal Medicine Service,Sex,Female,Unknown Clock Start,25
General Internal Medicine Service,Sex,Female,01 To 18 Weeks,10910
General Internal Medicine Service,Sex,Female,18 To 52 Weeks,5270
General Internal Medicine Service,Sex,Female,Over 52 Weeks,170
General Internal Medicine Service,Sex,Female,Total,16375
General Internal Medicine Service,Sex,Male,Unknown Clock Start,20
General Internal Medicine Service,Sex,Male,01 To 18 Weeks,7370
General Internal Medicine Service,Sex,Male,18 To 52 Weeks,2840
General Internal Medicine Service,Sex,Male,Over 52 Weeks,80
General Internal Medicine Service,Sex,Male,Total,10305
General Surgery Service,Age,0-18 Years,Unknown Clock Start,*
General Surgery Service,Age,0-18 Years,01 To 18 Weeks,2290
General Surgery Service,Age,0-18 Years,18 To 52 Weeks,1445
General Surgery Service,Age,0-18 Years,Over 52 Weeks,115
General Surgery Service,Age,0-18 Years,Total,3855
General Surgery Service,Age,19-64 Years,Unknown Clock Start,205
General Surgery Service,Age,19-64 Years,01 To 18 Weeks,117185
General Surgery Service,Age,19-64 Years,18 To 52 Weeks,83180
General Surgery Service,Age,19-64 Years,Over 52 Weeks,6820
General Surgery Service,Age,19-64 Years,Total,207385
General Surgery Service,Age,Over 65 Years,Unknown Clock Start,125
General Surgery Service,Age,Over 65 Years,01 To 18 Weeks,67025
General Surgery Service,Age,Over 65 Years,18 To 52 Weeks,41765
General Surgery Service,Age,Over 65 Years,Over 52 Weeks,3350
General Surgery Service,Age,Over 65 Years,Total,112265
General Surgery Service,Ethnicity,99: Not known,Unknown Clock Start,*
General Surgery Service,Ethnicity,99: Not known,01 To 18 Weeks,4795
General Surgery Service,Ethnicity,99: Not known,18 To 52 Weeks,3195
General Surgery Service,Ethnicity,99: Not known,Over 52 Weeks,220
General Surgery Service,Ethnicity,99: Not known,Total,8210
General Surgery Service,Ethnicity,A: British,Unknown Clock Start,255
General Surgery Service,Ethnicity,A: British,01 To 18 Weeks,136270
General Surgery Service,Ethnicity,A: British,18 To 52 Weeks,89065
General Surgery Service,Ethnicity,A: British,Over 52 Weeks,7200
General Surgery Service,Ethnicity,A: British,Total,232795
General Surgery Service,Ethnicity,B: Irish,Unknown Clock Start,*
General Surgery Service,Ethnicity,B: Irish,01 To 18 Weeks,1070
General Surgery Service,Ethnicity,B: Irish,18 To 52 Weeks,820
General Surgery Service,Ethnicity,B: Irish,Over 52 Weeks,65
General Surgery Service,Ethnicity,B: Irish,Total,1960
General Surgery Service,Ethnicity,C: Any other white background,Unknown Clock Start,15
General Surgery Service,Ethnicity,C: Any other white background,01 To 18 Weeks,12155
General Surgery Service,Ethnicity,C: Any other white background,18 To 52 Weeks,8935
General Surgery Service,Ethnicity,C: Any other white background,Over 52 Weeks,705
General Surgery Service,Ethnicity,C: Any other white background,Total,21805
General Surgery Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,600
General Surgery Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,395
General Surgery Service,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,40
General Surgery Service,Ethnicity,D: White and Black Caribbean,Total,1035
General Surgery Service,Ethnicity,E: White and Black African,01 To 18 Weeks,335
General Surgery Service,Ethnicity,E: White and Black African,18 To 52 Weeks,245
General Surgery Service,Ethnicity,E: White and Black African,Over 52 Weeks,25
General Surgery Service,Ethnicity,E: White and Black African,Total,600
General Surgery Service,Ethnicity,F: White and Asian,Unknown Clock Start,*
General Surgery Service,Ethnicity,F: White and Asian,01 To 18 Weeks,380
General Surgery Service,Ethnicity,F: White and Asian,18 To 52 Weeks,305
General Surgery Service,Ethnicity,F: White and Asian,Over 52 Weeks,15
General Surgery Service,Ethnicity,F: White and Asian,Total,700
General Surgery Service,Ethnicity,G: Any other mixed background,Unknown Clock Start,*
General Surgery Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1145
General Surgery Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,845
General Surgery Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,70
General Surgery Service,Ethnicity,G: Any other mixed background,Total,2065
General Surgery Service,Ethnicity,H: Indian,Unknown Clock Start,*
General Surgery Service,Ethnicity,H: Indian,01 To 18 Weeks,5250
General Surgery Service,Ethnicity,H: Indian,18 To 52 Weeks,3645
General Surgery Service,Ethnicity,H: Indian,Over 52 Weeks,270
General Surgery Service,Ethnicity,H: Indian,Total,9165
General Surgery Service,Ethnicity,J: Pakistani,Unknown Clock Start,*
General Surgery Service,Ethnicity,J: Pakistani,01 To 18 Weeks,4000
General Surgery Service,Ethnicity,J: Pakistani,18 To 52 Weeks,3045
General Surgery Service,Ethnicity,J: Pakistani,Over 52 Weeks,255
General Surgery Service,Ethnicity,J: Pakistani,Total,7305
General Surgery Service,Ethnicity,K: Bangladeshi,Unknown Clock Start,*
General Surgery Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,1670
General Surgery Service,Ethnicity,K: Bangladeshi,18 To 52 Weeks,1280
General Surgery Service,Ethnicity,K: Bangladeshi,Over 52 Weeks,115
General Surgery Service,Ethnicity,K: Bangladeshi,Total,3070
General Surgery Service,Ethnicity,L: Any other Asian background,Unknown Clock Start,*
General Surgery Service,Ethnicity,L: Any other Asian background,01 To 18 Weeks,3835
General Surgery Service,Ethnicity,L: Any other Asian background,18 To 52 Weeks,2765
General Surgery Service,Ethnicity,L: Any other Asian background,Over 52 Weeks,215
General Surgery Service,Ethnicity,L: Any other Asian background,Total,6820
General Surgery Service,Ethnicity,M: Caribbean,Unknown Clock Start,*
General Surgery Service,Ethnicity,M: Caribbean,01 To 18 Weeks,2215
General Surgery Service,Ethnicity,M: Caribbean,18 To 52 Weeks,1640
General Surgery Service,Ethnicity,M: Caribbean,Over 52 Weeks,165
General Surgery Service,Ethnicity,M: Caribbean,Total,4025
General Surgery Service,Ethnicity,N: African,01 To 18 Weeks,3495
General Surgery Service,Ethnicity,N: African,18 To 52 Weeks,2505
General Surgery Service,Ethnicity,N: African,Over 52 Weeks,250
General Surgery Service,Ethnicity,N: African,Total,6250
General Surgery Service,Ethnicity,P: Any other Black background,Unknown Clock Start,*
General Surgery Service,Ethnicity,P: Any other Black background,01 To 18 Weeks,1590
General Surgery Service,Ethnicity,P: Any other Black background,18 To 52 Weeks,1170
General Surgery Service,Ethnicity,P: Any other Black background,Over 52 Weeks,105
General Surgery Service,Ethnicity,P: Any other Black background,Total,2870
General Surgery Service,Ethnicity,R: Chinese,Unknown Clock Start,*
General Surgery Service,Ethnicity,R: Chinese,01 To 18 Weeks,635
General Surgery Service,Ethnicity,R: Chinese,18 To 52 Weeks,500
General Surgery Service,Ethnicity,R: Chinese,Over 52 Weeks,40
General Surgery Service,Ethnicity,R: Chinese,Total,1180
General Surgery Service,Ethnicity,S: Any other ethnic group,Unknown Clock Start,*
General Surgery Service,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,1915
General Surgery Service,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,1450
General Surgery Service,Ethnicity,S: Any other ethnic group,Over 52 Weeks,130
General Surgery Service,Ethnicity,S: Any other ethnic group,Total,3505
General Surgery Service,Ethnicity,Z: Not stated,Unknown Clock Start,25
General Surgery Service,Ethnicity,Z: Not stated,01 To 18 Weeks,7855
General Surgery Service,Ethnicity,Z: Not stated,18 To 52 Weeks,5020
General Surgery Service,Ethnicity,Z: Not stated,Over 52 Weeks,400
General Surgery Service,Ethnicity,Z: Not stated,Total,13300
General Surgery Service,IMD,1,Unknown Clock Start,15
General Surgery Service,IMD,1,01 To 18 Weeks,18595
General Surgery Service,IMD,1,18 To 52 Weeks,12680
General Surgery Service,IMD,1,Over 52 Weeks,1125
General Surgery Service,IMD,1,Total,32415
General Surgery Service,IMD,10,Unknown Clock Start,40
General Surgery Service,IMD,10,01 To 18 Weeks,15595
General Surgery Service,IMD,10,18 To 52 Weeks,9660
General Surgery Service,IMD,10,Over 52 Weeks,790
General Surgery Service,IMD,10,Total,26085
General Surgery Service,IMD,2,Unknown Clock Start,30
General Surgery Service,IMD,2,01 To 18 Weeks,20525
General Surgery Service,IMD,2,18 To 52 Weeks,14130
General Surgery Service,IMD,2,Over 52 Weeks,1160
