Code,Name,Geography,Metric,Category,Waiting Bands,Count
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,115
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,70
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,10
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,D: White and Black Caribbean,Total,195
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,E: White and Black African,01 To 18 Weeks,85
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,E: White and Black African,18 To 52 Weeks,45
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,E: White and Black African,Over 52 Weeks,*
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,E: White and Black African,Total,135
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,F: White and Asian,01 To 18 Weeks,130
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,F: White and Asian,18 To 52 Weeks,75
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,F: White and Asian,Over 52 Weeks,*
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,F: White and Asian,Total,205
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,G: Any other mixed background,01 To 18 Weeks,270
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,G: Any other mixed background,18 To 52 Weeks,165
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,G: Any other mixed background,Over 52 Weeks,20
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,G: Any other mixed background,Total,455
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,H: Indian,01 To 18 Weeks,340
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,H: Indian,18 To 52 Weeks,195
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,H: Indian,Over 52 Weeks,15
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,H: Indian,Total,555
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,J: Pakistani,01 To 18 Weeks,790
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,J: Pakistani,18 To 52 Weeks,485
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,J: Pakistani,Over 52 Weeks,40
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,J: Pakistani,Total,1315
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,K: Bangladeshi,01 To 18 Weeks,90
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,K: Bangladeshi,18 To 52 Weeks,55
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,K: Bangladeshi,Over 52 Weeks,*
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,K: Bangladeshi,Total,145
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,L: Any other Asian background,01 To 18 Weeks,370
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,L: Any other Asian background,18 To 52 Weeks,235
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,L: Any other Asian background,Over 52 Weeks,20
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,L: Any other Asian background,Total,620
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,M: Caribbean,01 To 18 Weeks,105
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,M: Caribbean,18 To 52 Weeks,65
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,M: Caribbean,Over 52 Weeks,10
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,M: Caribbean,Total,180
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,N: African,01 To 18 Weeks,385
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,N: African,18 To 52 Weeks,190
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,N: African,Over 52 Weeks,20
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,N: African,Total,595
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,P: Any other Black background,01 To 18 Weeks,145
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,P: Any other Black background,18 To 52 Weeks,60
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,P: Any other Black background,Over 52 Weeks,10
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,P: Any other Black background,Total,215
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,R: Chinese,01 To 18 Weeks,60
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,R: Chinese,18 To 52 Weeks,45
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,R: Chinese,Over 52 Weeks,*
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,R: Chinese,Total,110
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,240
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,135
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,S: Any other ethnic group,Over 52 Weeks,15
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,S: Any other ethnic group,Total,390
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,Z: Not stated,01 To 18 Weeks,1240
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,Z: Not stated,18 To 52 Weeks,640
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,Z: Not stated,Over 52 Weeks,40
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Ethnicity,Z: Not stated,Total,1920
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,1,01 To 18 Weeks,5405
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,1,18 To 52 Weeks,3140
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,1,Over 52 Weeks,255
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,1,Total,8800
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,10,01 To 18 Weeks,2410
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,10,18 To 52 Weeks,1220
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,10,Over 52 Weeks,80
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,10,Total,3710
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,2,01 To 18 Weeks,4600
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,2,18 To 52 Weeks,2655
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,2,Over 52 Weeks,215
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,2,Total,7475
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,3,01 To 18 Weeks,3970
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,3,18 To 52 Weeks,2265
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,3,Over 52 Weeks,200
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,3,Total,6440
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,4,01 To 18 Weeks,3650
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,4,18 To 52 Weeks,2090
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,4,Over 52 Weeks,155
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,4,Total,5890
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,5,01 To 18 Weeks,3030
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,5,18 To 52 Weeks,1675
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,5,Over 52 Weeks,115
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,5,Total,4825
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,6,01 To 18 Weeks,4370
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,6,18 To 52 Weeks,2380
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,6,Over 52 Weeks,170
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,6,Total,6920
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,7,01 To 18 Weeks,4350
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,7,18 To 52 Weeks,2330
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,7,Over 52 Weeks,180
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,7,Total,6860
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,8,01 To 18 Weeks,3645
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,8,18 To 52 Weeks,2005
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,8,Over 52 Weeks,145
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,8,Total,5795
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,9,01 To 18 Weeks,4600
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,9,18 To 52 Weeks,2440
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,9,Over 52 Weeks,170
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,IMD,9,Total,7215
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Sex,Female,01 To 18 Weeks,22835
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Sex,Female,18 To 52 Weeks,12830
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Sex,Female,Over 52 Weeks,1190
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Sex,Female,Total,36855
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Sex,Male,01 To 18 Weeks,17940
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Sex,Male,18 To 52 Weeks,9780
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Sex,Male,Over 52 Weeks,535
QNC,STAFFORDSHIRE AND STOKE-ON-TRENT ICB,NHS ACUTE,Sex,Male,Total,28255
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Age,0-18 Years,01 To 18 Weeks,7570
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Age,0-18 Years,18 To 52 Weeks,4315
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Age,0-18 Years,Over 52 Weeks,465
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Age,0-18 Years,Total,12345
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Age,19-64 Years,Unknown Clock Start,*
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Age,19-64 Years,01 To 18 Weeks,34215
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Age,19-64 Years,18 To 52 Weeks,26540
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Age,19-64 Years,Over 52 Weeks,2540
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Age,19-64 Years,Total,63295
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Age,Over 65 Years,01 To 18 Weeks,27420
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Age,Over 65 Years,18 To 52 Weeks,18200
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Age,Over 65 Years,Over 52 Weeks,1720
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Age,Over 65 Years,Total,47335
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,99: Not known,01 To 18 Weeks,2720
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,99: Not known,18 To 52 Weeks,1895
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,99: Not known,Over 52 Weeks,135
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,99: Not known,Total,4755
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,A: British,Unknown Clock Start,*
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,A: British,01 To 18 Weeks,56405
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,A: British,18 To 52 Weeks,40140
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,A: British,Over 52 Weeks,3935
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,A: British,Total,100480
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,B: Irish,01 To 18 Weeks,280
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,B: Irish,18 To 52 Weeks,195
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,B: Irish,Over 52 Weeks,25
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,B: Irish,Total,500
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,C: Any other white background,01 To 18 Weeks,3240
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,C: Any other white background,18 To 52 Weeks,2350
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,C: Any other white background,Over 52 Weeks,205
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,C: Any other white background,Total,5795
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,245
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,165
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,15
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,D: White and Black Caribbean,Total,425
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,E: White and Black African,01 To 18 Weeks,120
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,E: White and Black African,18 To 52 Weeks,85
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,E: White and Black African,Over 52 Weeks,15
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,E: White and Black African,Total,220
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,F: White and Asian,01 To 18 Weeks,145
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,F: White and Asian,18 To 52 Weeks,105
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,F: White and Asian,Over 52 Weeks,10
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,F: White and Asian,Total,260
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,G: Any other mixed background,01 To 18 Weeks,960
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,G: Any other mixed background,18 To 52 Weeks,615
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,G: Any other mixed background,Over 52 Weeks,70
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,G: Any other mixed background,Total,1645
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,H: Indian,01 To 18 Weeks,390
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,H: Indian,18 To 52 Weeks,265
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,H: Indian,Over 52 Weeks,35
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,H: Indian,Total,695
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,J: Pakistani,01 To 18 Weeks,110
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,J: Pakistani,18 To 52 Weeks,75
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,J: Pakistani,Over 52 Weeks,*
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,J: Pakistani,Total,195
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,K: Bangladeshi,01 To 18 Weeks,185
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,K: Bangladeshi,18 To 52 Weeks,130
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,K: Bangladeshi,Over 52 Weeks,20
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,K: Bangladeshi,Total,330
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,L: Any other Asian background,01 To 18 Weeks,395
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,L: Any other Asian background,18 To 52 Weeks,295
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,L: Any other Asian background,Over 52 Weeks,25
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,L: Any other Asian background,Total,720
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,M: Caribbean,01 To 18 Weeks,190
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,M: Caribbean,18 To 52 Weeks,140
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,M: Caribbean,Over 52 Weeks,10
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,M: Caribbean,Total,340
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,N: African,01 To 18 Weeks,425
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,N: African,18 To 52 Weeks,330
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,N: African,Over 52 Weeks,35
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,N: African,Total,785
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,P: Any other Black background,01 To 18 Weeks,250
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,P: Any other Black background,18 To 52 Weeks,170
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,P: Any other Black background,Over 52 Weeks,15
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,P: Any other Black background,Total,435
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,R: Chinese,01 To 18 Weeks,140
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,R: Chinese,18 To 52 Weeks,110
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,R: Chinese,Over 52 Weeks,10
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,R: Chinese,Total,260
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,475
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,340
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,S: Any other ethnic group,Over 52 Weeks,25
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,S: Any other ethnic group,Total,840
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,Z: Not stated,01 To 18 Weeks,2615
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,Z: Not stated,18 To 52 Weeks,1660
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,Z: Not stated,Over 52 Weeks,130
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,Ethnicity,Z: Not stated,Total,4400
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,1,01 To 18 Weeks,3545
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,1,18 To 52 Weeks,2630
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,1,Over 52 Weeks,245
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,1,Total,6425
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,10,01 To 18 Weeks,4540
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,10,18 To 52 Weeks,3015
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,10,Over 52 Weeks,270
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,10,Total,7825
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,2,01 To 18 Weeks,4700
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,2,18 To 52 Weeks,3555
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,2,Over 52 Weeks,345
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,2,Total,8595
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,3,01 To 18 Weeks,5185
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,3,18 To 52 Weeks,3955
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,3,Over 52 Weeks,340
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,3,Total,9480
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,4,01 To 18 Weeks,6280
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,4,18 To 52 Weeks,4720
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,4,Over 52 Weeks,515
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,4,Total,11515
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,5,01 To 18 Weeks,7865
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,5,18 To 52 Weeks,5625
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,5,Over 52 Weeks,550
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,5,Total,14035
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,6,Unknown Clock Start,*
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,6,01 To 18 Weeks,12085
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,6,18 To 52 Weeks,8455
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,6,Over 52 Weeks,805
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,6,Total,21345
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,7,01 To 18 Weeks,8200
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,7,18 To 52 Weeks,5670
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,7,Over 52 Weeks,530
QJG,SUFFOLK AND NORTH EAST ESSEX ICB,NHS ACUTE,IMD,7,Total,14400
